DATE,MORTGAGE30US
1971-04-01,7.3100000000000000
1971-05-01,7.4250000000000000
1971-06-01,7.5300000000000000
1971-07-01,7.6040000000000000
1971-08-01,7.6975000000000000
1971-09-01,7.6875000000000000
1971-10-01,7.6280000000000000
1971-11-01,7.5500000000000000
1971-12-01,7.4800000000000000
1972-01-01,7.4375000000000000
1972-02-01,7.3250000000000000
1972-03-01,7.2980000000000000
1972-04-01,7.2900000000000000
1972-05-01,7.3725000000000000
1972-06-01,7.3720000000000000
1972-07-01,7.3950000000000000
1972-08-01,7.4000000000000000
1972-09-01,7.4200000000000000
1972-10-01,7.4200000000000000
1972-11-01,7.4275000000000000
1972-12-01,7.4420000000000000
1973-01-01,7.4375000000000000
1973-02-01,7.4400000000000000
1973-03-01,7.4580000000000000
1973-04-01,7.5425000000000000
1973-05-01,7.6525000000000000
1973-06-01,7.7340000000000000
1973-07-01,8.0500000000000000
1973-08-01,8.4960000000000000
1973-09-01,8.8150000000000000
1973-10-01,8.7700000000000000
1973-11-01,8.5820000000000000
1973-12-01,8.5375000000000000
1974-01-01,8.5400000000000000
1974-02-01,8.4550000000000000
1974-03-01,8.4060000000000000
1974-04-01,8.5825000000000000
1974-05-01,8.9720000000000000
1974-06-01,9.0850000000000000
1974-07-01,9.2800000000000000
1974-08-01,9.5860000000000000
1974-09-01,9.9575000000000000
1974-10-01,9.9775000000000000
1974-11-01,9.7880000000000000
1974-12-01,9.6150000000000000
1975-01-01,9.4320000000000000
1975-02-01,9.1050000000000000
1975-03-01,8.9025000000000000
1975-04-01,8.8200000000000000
1975-05-01,8.9060000000000000
1975-06-01,8.8925000000000000
1975-07-01,8.8900000000000000
1975-08-01,8.9420000000000000
1975-09-01,9.1300000000000000
1975-10-01,9.2240000000000000
1975-11-01,9.1450000000000000
1975-12-01,9.0975000000000000
1976-01-01,9.0160000000000000
1976-02-01,8.8125000000000000
1976-03-01,8.7550000000000000
1976-04-01,8.7300000000000000
1976-05-01,8.7650000000000000
1976-06-01,8.8475000000000000
1976-07-01,8.9340000000000000
1976-08-01,9.0000000000000000
1976-09-01,8.9775000000000000
1976-10-01,8.9300000000000000
1976-11-01,8.8125000000000000
1976-12-01,8.7920000000000000
1977-01-01,8.7225000000000000
1977-02-01,8.6700000000000000
1977-03-01,8.6875000000000000
1977-04-01,8.7520000000000000
1977-05-01,8.8275000000000000
1977-06-01,8.8575000000000000
1977-07-01,8.9420000000000000
1977-08-01,8.9400000000000000
1977-09-01,8.8960000000000000
1977-10-01,8.9225000000000000
1977-11-01,8.9225000000000000
1977-12-01,8.9600000000000000
1978-01-01,9.0150000000000000
1978-02-01,9.1450000000000000
1978-03-01,9.2020000000000000
1978-04-01,9.3550000000000000
1978-05-01,9.5725000000000000
1978-06-01,9.7080000000000000
1978-07-01,9.7400000000000000
1978-08-01,9.7850000000000000
1978-09-01,9.7560000000000000
1978-10-01,9.8575000000000000
1978-11-01,10.1075000000000000
1978-12-01,10.3460000000000000
1979-01-01,10.3900000000000000
1979-02-01,10.4075000000000000
1979-03-01,10.4260000000000000
1979-04-01,10.4975000000000000
1979-05-01,10.6900000000000000
1979-06-01,11.0360000000000000
1979-07-01,11.0925000000000000
1979-08-01,11.0940000000000000
1979-09-01,11.3000000000000000
1979-10-01,11.6375000000000000
1979-11-01,12.8300000000000000
1979-12-01,12.9000000000000000
1980-01-01,12.8775000000000000
