DATE,LREM64TTUSM156S
1977-01-01,64.5651257883006
1977-02-01,64.6843779587165
1977-03-01,64.9149511175731
1977-04-01,65.1570223563858
1977-05-01,65.2642632547357
1977-06-01,65.4799913271723
1977-07-01,65.3790901308587
1977-08-01,65.5727789532157
1977-09-01,65.70178821634
1977-10-01,65.7985646386041
1977-11-01,66.1167365922152
1977-12-01,66.3711523389688
1978-01-01,66.422599817743
1978-02-01,66.4346099993351
1978-03-01,66.565798209353
1978-04-01,66.9278831228273
1978-05-01,67.0059731006374
1978-06-01,67.2934887859958
1978-07-01,67.0504587036808
1978-08-01,67.2960270853486
1978-09-01,67.4179842933168
1978-10-01,67.6295459073647
1978-11-01,67.6828629903206
1978-12-01,67.6926582638693
1979-01-01,67.7880193658241
1979-02-01,67.8901620989434
1979-03-01,67.9508374344433
1979-04-01,67.7443125520184
1979-05-01,67.7092193828175
1979-06-01,67.8061737907491
1979-07-01,67.9773754432418
1979-08-01,67.7826853555054
1979-09-01,68.1656604129174
1979-10-01,68.0597985024954
1979-11-01,67.9956042799377
1979-12-01,68.2234509182862
1980-01-01,67.9935980525712
1980-02-01,67.9541693695028
1980-03-01,67.722423685227
1980-04-01,67.3913533857749
1980-05-01,66.9812859740626
1980-06-01,66.8218952450799
1980-07-01,66.782018392145
1980-08-01,66.6361276420974
1980-09-01,66.9101831245596
1980-10-01,66.9504468891968
1980-11-01,66.9932839332012
1980-12-01,67.0648883298144
1981-01-01,67.2348581983247
1981-02-01,67.2679658042803
1981-03-01,67.4036465931279
1981-04-01,67.6513515764898
1981-05-01,67.5014489743763
1981-06-01,66.9601194752756
1981-07-01,67.1603195598015
1981-08-01,67.1300337173449
1981-09-01,66.8146467881799
1981-10-01,66.8427991459414
1981-11-01,66.6402445206796
1981-12-01,66.2361518065143
1982-01-01,66.3154748463962
1982-02-01,66.2878812883171
1982-03-01,66.1338192473732
1982-04-01,65.9356559344316
1982-05-01,66.0481036755084
1982-06-01,65.7059941265139
1982-07-01,65.6669553450007
1982-08-01,65.7561098005977
1982-09-01,65.6016621941324
1982-10-01,65.2936862577841
1982-11-01,65.1593123901508
1982-12-01,65.0566038749249
